	#	Name	Type 1	Type 2	Sp. Def	Speed	Total	HP	Attack	Defense	Sp. Atk	Sp. Def
121	113	Chansey	Normal		105	50	1195	250	5	5	35	105
122	114	Tangela	Grass		40	60	1205	65	55	115	100	40
123	115	Kangaskhan	Normal		80	90	1300	105	95	80	40	80
124	115	KangaskhanMega Kangaskhan	Normal		100	100	1570	105	125	100	60	100
125	116	Horsea	Water		25	60	800	30	40	70	70	25
126	117	Seadra	Water		45	85	1190	55	65	95	95	45
127	118	Goldeen	Water		50	63	847	45	67	60	35	50
128	119	Seaking	Water		80	68	1202	80	92	65	65	80
129	120	Staryu	Water		55	85	880	30	45	55	70	55
130	121	Starmie	Water	Psychic	85	115	1360	60	75	85	100	85
131	122	Mr. Mime	Psychic	Fairy	120	90	1170	40	45	65	100	120
132	123	Scyther	Bug	Flying	80	105	1315	70	110	80	55	80
133	124	Jynx	Ice	Psychic	95	95	1175	65	50	35	115	95
134	125	Electabuzz	Electric		85	105	1280	65	83	57	95	85
135	126	Magmar	Fire		85	93	1307	65	95	57	100	85
136	127	Pinsir	Bug		70	85	1345	65	125	100	55	70
137	127	PinsirMega Pinsir	Bug	Flying	90	105	1605	65	155	120	65	90
138	128	Tauros	Normal		70	110	1290	75	100	95	40	70
139	129	Magikarp	Water		20	80	500	20	10	55	15	20
140	130	Gyarados	Water	Flying	100	81	1439	95	125	79	60	100
141	130	GyaradosMega Gyarados	Water	Dark	130	81	1709	95	155	109	70	130
142	131	Lapras	Water	Ice	95	60	1450	130	85	80	85	95
143	132	Ditto	Normal		48	48	768	48	48	48	48	48
144	133	Eevee	Normal		65	55	855	55	55	50	45	65
145	134	Vaporeon	Water		95	65	1415	130	65	60	110	95
146	135	Jolteon	Electric		95	130	1350	65	65	60	110	95
147	136	Flareon	Fire		110	65	1400	65	130	60	95	110
148	137	Porygon	Normal		75	40	1070	65	60	70	85	75
149	138	Omanyte	Rock	Water	55	35	975	35	40	100	90	55
150	139	Omastar	Rock	Water	70	55	1360	70	60	125	115	70
151	140	Kabuto	Rock	Water	45	55	965	30	80	90	55	45
152	141	Kabutops	Rock	Water	70	80	1335	60	115	105	65	70
153	142	Aerodactyl	Rock	Flying	75	130	1340	80	105	65	60	75
154	142	AerodactylMega Aerodactyl	Rock	Flying	95	150	1600	80	135	85	70	95
155	143	Snorlax	Normal		110	30	1480	160	110	65	65	110
156	144	Articuno	Ice	Flying	125	85	1530	90	85	100	95	125
157	145	Zapdos	Electric	Flying	90	100	1550	90	90	85	125	90
158	146	Moltres	Fire	Flying	85	90	1565	90	100	90	125	85
159	147	Dratini	Dragon		50	50	800	41	64	45	50	50
160	148	Dragonair	Dragon		70	70	1120	61	84	65	70	70
161	149	Dragonite	Dragon	Flying	100	80	1620	91	134	95	100	100
162	150	Mewtwo	Psychic		90	130	1820	106	110	90	154	90
163	150	MewtwoMega Mewtwo X	Psychic	Fighting	100	130	2110	106	190	100	154	100
164	150	MewtwoMega Mewtwo Y	Psychic		120	140	2080	106	150	70	194	120
165	151	Mew	Psychic		100	100	1600	100	100	100	100	100
166	152	Chikorita	Grass		65	45	844	45	49	65	49	65
167	153	Bayleef	Grass		80	60	1075	60	62	80	63	80
168	154	Meganium	Grass		100	80	1395	80	82	100	83	100
169	155	Cyndaquil	Fire		50	65	812	39	52	43	60	50
170	156	Quilava	Fire		65	80	1070	58	64	58	80	65
171	157	Typhlosion	Fire		85	100	1417	78	84	78	109	85
172	158	Totodile	Water		48	43	851	50	65	64	44	48
173	159	Croconaw	Water		63	58	1094	65	80	80	59	63
174	160	Feraligatr	Water		83	78	1429	85	105	100	79	83
175	161	Sentret	Normal		45	20	580	35	46	34	35	45
176	162	Furret	Normal		55	90	1100	85	76	64	45	55
177	163	Hoothoot	Normal	Flying	56	50	680	60	30	30	36	56
178	164	Noctowl	Normal	Flying	96	70	1160	100	50	50	76	96
179	165	Ledyba	Bug	Flying	80	55	660	40	20	30	40	80
180	166	Ledian	Bug	Flying	110	85	975	55	35	50	55	110
181	167	Spinarak	Bug	Poison	40	30	680	40	60	40	40	40
182	168	Ariados	Bug	Poison	60	40	1070	70	90	70	60	60
183	169	Crobat	Poison	Flying	80	130	1395	85	90	80	70	80
184	170	Chinchou	Water	Electric	56	67	867	75	38	38	56	56
185	171	Lanturn	Water	Electric	76	67	1237	125	58	58	76	76
186	172	Pichu	Electric		35	60	520	20	40	15	35	35
187	173	Cleffa	Fairy		55	15	584	50	25	28	45	55
188	174	Igglybuff	Normal	Fairy	20	15	595	90	30	15	40	20
189	175	Togepi	Fairy		65	20	650	35	20	65	40	65
190	176	Togetic	Fairy	Flying	105	40	1070	55	40	85	80	105
191	177	Natu	Psychic	Flying	45	70	845	40	50	45	70	45
192	178	Xatu	Psychic	Flying	70	95	1245	65	75	70	95	70
193	179	Mareep	Electric		45	35	760	55	40	40	65	45
194	180	Flaaffy	Electric		60	45	990	70	55	55	80	60
195	181	Ampharos	Electric		90	55	1385	90	75	85	115	90
196	181	AmpharosMega Ampharos	Electric	Dragon	110	45	1675	90	95	105	165	110
197	182	Bellossom	Grass		100	50	1320	75	80	95	90	100
198	183	Marill	Water	Fairy	50	40	660	70	20	50	20	50
199	184	Azumarill	Water	Fairy	80	50	1130	100	50	80	60	80
200	185	Sudowoodo	Rock		65	30	1135	70	100	115	30	65
201	186	Politoed	Water		100	70	1330	90	75	75	90	100
202	187	Hoppip	Grass	Flying	55	50	645	35	35	40	35	55
203	188	Skiploom	Grass	Flying	65	80	875	55	45	50	45	65
204	189	Jumpluff	Grass	Flying	95	110	1175	75	55	70	55	95
205	190	Aipom	Normal		55	85	940	55	70	55	40	55
206	191	Sunkern	Grass		30	30	480	30	30	30	30	30
207	192	Sunflora	Grass		85	30	1160	75	75	55	105	85
208	193	Yanma	Bug	Flying	45	95	1030	65	65	45	75	45
209	194	Wooper	Water	Ground	25	15	590	55	45	45	25	25
210	195	Quagsire	Water	Ground	65	35	1190	95	85	85	65	65
211	196	Espeon	Psychic		95	110	1370	65	65	60	130	95
212	197	Umbreon	Dark		130	65	1380	95	65	110	60	130
213	198	Murkrow	Dark	Flying	42	91	1082	60	85	42	85	42
214	199	Slowking	Water	Psychic	110	30	1330	95	75	80	100	110
215	200	Misdreavus	Ghost		85	85	1135	60	60	60	85	85
216	201	Unown	Psychic		48	48	912	48	72	48	72	48
217	202	Wobbuffet	Psychic		58	33	1124	190	33	58	33	58
218	203	Girafarig	Normal	Psychic	65	85	1215	70	80	65	90	65
219	204	Pineco	Bug		35	15	820	50	65	90	35	35
220	205	Forretress	Bug	Steel	60	40	1295	75	90	140	60	60
221	206	Dunsparce	Normal		65	45	1135	100	70	70	65	65
222	207	Gligar	Ground	Flying	65	85	1140	65	75	105	35	65
223	208	Steelix	Steel	Ground	65	30	1435	75	85	200	55	65
224	208	SteelixMega Steelix	Steel	Ground	95	30	1705	75	125	230	55	95
225	209	Snubbull	Fairy		40	30	830	60	80	50	40	40
226	210	Granbull	Fairy		60	45	1245	90	120	75	60	60
227	211	Qwilfish	Water	Poison	55	85	1150	65	95	75	55	55
228	212	Scizor	Bug	Steel	80	65	1355	70	130	100	55	80
229	212	ScizorMega Scizor	Bug	Steel	100	75	1625	70	150	140	65	100
230	213	Shuckle	Bug	Rock	230	5	1280	20	10	230	10	230
231	214	Heracross	Bug	Fighting	95	85	1320	80	125	75	40	95
232	214	HeracrossMega Heracross	Bug	Fighting	105	75	1620	80	185	115	40	105
233	215	Sneasel	Dark	Ice	75	115	1100	55	95	55	35	75
234	216	Teddiursa	Normal		50	40	900	60	80	50	50	50
235	217	Ursaring	Normal		75	55	1370	90	130	75	75	75
236	218	Slugma	Fire		40	20	690	40	40	40	70	40
237	219	Magcargo	Fire	Rock	80	30	1120	50	50	120	80	80
238	220	Swinub	Ice	Ground	30	50	670	50	50	40	30	30
239	221	Piloswine	Ice	Ground	60	50	1240	100	100	80	60	60
240	222	Corsola	Water	Rock	85	35	1020	55	55	85	65	85
241	223	Remoraid	Water		35	65	800	35	65	35	65	35
242	224	Octillery	Water		75	45	1320	75	105	75	105	75
243	225	Delibird	Ice	Flying	45	75	870	45	55	45	65	45
244	226	Mantine	Water	Flying	140	70	1185	65	40	70	80	140
245	227	Skarmory	Steel	Flying	70	70	1255	65	80	140	40	70
246	228	Houndour	Dark	Fire	50	65	875	45	60	30	80	50
247	229	Houndoom	Dark	Fire	80	95	1325	75	90	50	110	80
248	229	HoundoomMega Houndoom	Dark	Fire	90	115	1595	75	90	90	140	90
249	230	Kingdra	Water	Dragon	95	85	1440	75	95	95	95	95
250	231	Phanpy	Ground		40	40	910	90	60	60	40	40
251	232	Donphan	Ground		60	50	1390	90	120	120	60	60
252	233	Porygon2	Normal		95	60	1390	85	80	90	105	95
253	234	Stantler	Normal		65	85	1245	73	95	62	85	65
254	235	Smeargle	Normal		45	75	630	55	20	35	20	45
255	236	Tyrogue	Fighting		35	35	560	35	35	35	35	35
256	237	Hitmontop	Fighting		110	70	1185	50	95	95	35	110
257	238	Smoochum	Ice	Psychic	65	65	785	45	30	15	85	65
258	239	Elekid	Electric		55	95	930	45	63	37	65	55
259	240	Magby	Fire		55	83	957	45	75	37	70	55
260	241	Miltank	Normal		70	100	1300	95	80	105	40	70
261	242	Blissey	Normal		135	55	1430	255	10	10	75	135
262	243	Raikou	Electric		100	115	1525	90	85	75	115	100
263	244	Entei	Fire		75	100	1565	115	115	85	90	75
264	245	Suicune	Water		115	85	1540	100	75	115	90	115
265	246	Larvitar	Rock	Ground	50	41	809	50	64	50	45	50
266	247	Pupitar	Rock	Ground	70	51	1109	70	84	70	65	70
267	248	Tyranitar	Rock	Dark	100	61	1639	100	134	110	95	100
268	248	TyranitarMega Tyranitar	Rock	Dark	120	71	1909	100	164	150	95	120
269	249	Lugia	Psychic	Flying	154	110	1776	106	90	130	90	154
270	250	Ho-oh	Fire	Flying	154	90	1796	106	130	90	110	154
271	251	Celebi	Psychic	Grass	100	100	1600	100	100	100	100	100
272	252	Treecko	Grass		55	70	805	40	45	35	65	55
273	253	Grovyle	Grass		65	95	1055	50	65	45	85	65
274	254	Sceptile	Grass		85	120	1385	70	85	65	105	85
275	254	SceptileMega Sceptile	Grass	Dragon	85	145	1660	70	110	75	145	85
276	255	Torchic	Fire		50	45	835	45	60	40	70	50
277	256	Combusken	Fire	Fighting	60	55	1100	60	85	60	85	60
278	257	Blaziken	Fire	Fighting	70	80	1440	80	120	70	110	70
279	257	BlazikenMega Blaziken	Fire	Fighting	80	100	1710	80	160	80	130	80
280	258	Mudkip	Water		50	40	840	50	70	50	50	50
281	259	Marshtomp	Water	Ground	70	50	1095	70	85	70	60	70
282	260	Swampert	Water	Ground	90	60	1455	100	110	90	85	90
283	260	SwampertMega Swampert	Water	Ground	110	70	1725	100	150	110	95	110
284	261	Poochyena	Dark		30	35	595	35	55	35	30	30
285	262	Mightyena	Dark		60	70	1130	70	90	70	60	60
286	263	Zigzagoon	Normal		41	60	619	38	30	41	30	41
287	264	Linoone	Normal		61	100	1099	78	70	61	50	61
288	265	Wurmple	Bug		30	20	535	45	45	35	20	30
289	266	Silcoon	Bug		25	15	575	50	35	55	25	25
290	267	Beautifly	Bug	Flying	50	65	1070	60	70	50	100	50
291	268	Cascoon	Bug		25	15	575	50	35	55	25	25
292	269	Dustox	Bug	Poison	90	65	1000	60	50	70	50	90
293	270	Lotad	Water	Grass	50	30	580	40	30	30	40	50
294	271	Lombre	Water	Grass	70	50	900	60	50	50	60	70
295	272	Ludicolo	Water	Grass	100	70	1270	80	70	70	90	100
296	273	Seedot	Grass		30	30	600	40	40	50	30	30
297	274	Nuzleaf	Grass	Dark	40	60	920	70	70	40	60	40
298	275	Shiftry	Grass	Dark	60	80	1300	90	100	60	90	60
299	276	Taillow	Normal	Flying	30	85	695	40	55	30	30	30
300	277	Swellow	Normal	Flying	50	125	1115	60	85	60	50	50
301	278	Wingull	Water	Flying	30	85	695	40	30	30	55	30
302	279	Pelipper	Water	Flying	70	65	1155	60	50	100	85	70
303	280	Ralts	Psychic	Fairy	35	40	519	28	25	25	45	35
304	281	Kirlia	Psychic	Fairy	55	50	729	38	35	35	65	55
305	282	Gardevoir	Psychic	Fairy	115	80	1359	68	65	65	125	115
306	282	GardevoirMega Gardevoir	Psychic	Fairy	135	100	1619	68	85	65	165	135
307	283	Surskit	Bug	Water	52	65	690	40	30	32	50	52
308	284	Masquerain	Bug	Flying	82	60	1100	70	60	62	80	82
309	285	Shroomish	Grass		60	35	790	60	40	60	40	60
310	286	Breloom	Grass	Fighting	60	70	1250	60	130	80	60	60
311	287	Slakoth	Normal		35	30	775	60	60	60	35	35
312	288	Vigoroth	Normal		55	90	1175	80	80	80	55	55
313	289	Slaking	Normal		65	100	1845	150	160	100	95	65
314	290	Nincada	Bug	Ground	30	40	728	31	45	90	30	30
315	291	Ninjask	Bug	Flying	50	160	1158	61	90	45	50	50
316	292	Shedinja	Bug	Ghost	30	40	638	1	90	45	30	30
317	293	Whismur	Normal		23	28	669	64	51	23	51	23
318	294	Loudred	Normal		43	48	989	84	71	43	71	43
319	295	Exploud	Normal		73	68	1329	104	91	63	91	73
320	296	Makuhita	Fighting		30	25	656	72	60	30	20	30
321	297	Hariyama	Fighting		60	50	1312	144	120	60	40	60
322	298	Azurill	Normal	Fairy	40	20	510	50	20	40	20	40
323	299	Nosepass	Rock		90	30	1005	30	45	135	45	90
324	300	Skitty	Normal		35	50	695	50	45	45	35	35
325	301	Delcatty	Normal		55	70	1015	70	65	65	55	55
326	302	Sableye	Dark	Ghost	65	50	1025	50	75	75	65	65
327	302	SableyeMega Sableye	Dark	Ghost	115	20	1305	50	85	125	85	115
328	303	Mawile	Steel	Fairy	55	50	1035	50	85	85	55	55
329	303	MawileMega Mawile	Steel	Fairy	95	50	1295	50	105	125	55	95
330	304	Aron	Steel	Rock	40	30	920	50	70	100	40	40
331	305	Lairon	Steel	Rock	50	40	1200	60	90	140	50	50
332	306	Aggron	Steel	Rock	60	50	1480	70	110	180	60	60
333	306	AggronMega Aggron	Steel		80	50	1760	70	140	230	60	80
334	307	Meditite	Fighting	Psychic	55	60	725	30	40	55	40	55
335	308	Medicham	Fighting	Psychic	75	80	1075	60	60	75	60	75
336	308	MedichamMega Medicham	Fighting	Psychic	85	100	1345	60	100	85	80	85
337	309	Electrike	Electric		40	65	780	40	45	40	65	40
338	310	Manectric	Electric		60	105	1260	70	75	60	105	60
339	310	ManectricMega Manectric	Electric		80	135	1510	70	75	80	135	80
340	311	Plusle	Electric		75	95	1045	60	50	40	85	75
341	312	Minun	Electric		85	95	1035	60	40	50	75	85
342	313	Volbeat	Bug		75	85	1040	65	73	55	47	75
343	314	Illumise	Bug		75	85	1040	65	47	55	73	75
344	315	Roselia	Grass	Poison	80	65	1055	50	60	45	100	80
345	316	Gulpin	Poison		53	40	813	70	43	53	43	53
346	317	Swalot	Poison		83	55	1263	100	73	83	73	83
347	318	Carvanha	Water	Dark	20	65	830	45	90	20	65	20
348	319	Sharpedo	Water	Dark	40	95	1245	70	120	40	95	40
349	319	SharpedoMega Sharpedo	Water	Dark	65	105	1510	70	140	70	110	65
350	320	Wailmer	Water		35	60	1105	130	70	35	70	35
351	321	Wailord	Water		45	60	1395	170	90	45	90	45
352	322	Numel	Fire	Ground	45	35	835	60	60	40	65	45
353	323	Camerupt	Fire	Ground	75	40	1265	70	100	70	105	75
354	323	CameruptMega Camerupt	Fire	Ground	105	20	1555	70	120	100	145	105
355	324	Torkoal	Fire		70	20	1320	70	85	140	85	70
356	325	Spoink	Psychic		80	60	850	60	25	35	70	80
357	326	Grumpig	Psychic		110	80	1220	80	45	65	90	110
358	327	Spinda	Normal		60	60	960	60	60	60	60	60
359	328	Trapinch	Ground		45	10	815	45	100	45	45	45
360	329	Vibrava	Ground	Dragon	50	70	900	50	70	50	50	50
361	330	Flygon	Ground	Dragon	80	100	1380	80	100	80	80	80
362	331	Cacnea	Grass		40	35	930	50	85	40	85	40
363	332	Cacturne	Grass	Dark	60	55	1310	70	115	60	115	60
364	333	Swablu	Normal	Flying	75	50	805	45	40	60	40	75
365	334	Altaria	Dragon	Flying	105	80	1285	75	70	90	70	105
366	334	AltariaMega Altaria	Dragon	Fairy	105	80	1585	75	110	110	110	105
367	335	Zangoose	Normal		60	90	1224	73	115	60	60	60
368	336	Seviper	Poison		60	65	1249	73	100	60	100	60
369	337	Lunatone	Rock	Psychic	85	70	1165	70	55	65	95	85
370	338	Solrock	Rock	Psychic	65	70	1185	70	95	85	55	65
371	339	Barboach	Water	Ground	41	60	763	50	48	43	46	41
372	340	Whiscash	Water	Ground	71	60	1273	110	78	73	76	71
373	341	Corphish	Water		35	35	854	43	80	65	50	35
374	342	Crawdaunt	Water	Dark	55	55	1294	63	120	85	90	55
375	343	Baltoy	Ground	Psychic	70	55	775	40	40	55	40	70
376	344	Claydol	Ground	Psychic	120	75	1305	60	70	105	70	120
377	345	Lileep	Rock	Grass	87	23	955	66	41	77	61	87
378	346	Cradily	Rock	Grass	107	43	1335	86	81	97	81	107
379	347	Anorith	Rock	Bug	50	75	940	45	95	50	40	50
380	348	Armaldo	Rock	Bug	80	45	1360	75	125	100	70	80
381	349	Feebas	Water		55	80	465	20	15	20	10	55
382	350	Milotic	Water		125	81	1414	95	60	79	100	125
383	351	Castform	Normal		70	70	1120	70	70	70	70	70
384	352	Kecleon	Normal		120	40	1160	60	90	70	60	120
385	353	Shuppet	Ghost		33	45	807	44	75	35	63	33
386	354	Banette	Ghost		63	65	1237	64	115	65	83	63
387	354	BanetteMega Banette	Ghost		83	75	1507	64	165	75	93	83
388	355	Duskull	Ghost		90	25	770	20	40	90	30	90
389	356	Dusclops	Ghost		130	25	1210	40	70	130	60	130
390	357	Tropius	Grass	Flying	87	51	1242	99	68	83	72	87
391	358	Chimecho	Psychic		80	65	1130	65	50	70	95	80
392	359	Absol	Dark		60	75	1260	65	130	60	75	60
393	359	AbsolMega Absol	Dark		60	115	1520	65	150	60	115	60
394	360	Wynaut	Psychic		48	23	709	95	23	48	23	48
395	361	Snorunt	Ice		50	50	800	50	50	50	50	50
396	362	Glalie	Ice		80	80	1280	80	80	80	80	80
397	362	GlalieMega Glalie	Ice		80	100	1560	80	120	80	120	80
398	363	Spheal	Ice	Water	50	25	795	70	40	50	55	50
399	364	Sealeo	Ice	Water	70	45	1115	90	60	70	75	70
400	365	Walrein	Ice	Water	90	65	1435	110	80	90	95	90
401	366	Clamperl	Water		55	32	948	35	64	85	74	55
402	367	Huntail	Water		75	52	1328	55	104	105	94	75
403	368	Gorebyss	Water		75	52	1328	55	84	105	114	75
404	369	Relicanth	Water	Rock	65	55	1335	100	90	130	45	65
405	370	Luvdisc	Water		65	97	828	43	30	55	40	65
406	371	Bagon	Dragon		30	50	820	45	75	60	40	30
407	372	Shelgon	Dragon		50	50	1160	65	95	100	60	50
408	373	Salamence	Dragon	Flying	80	100	1620	95	135	80	110	80
409	373	SalamenceMega Salamence	Dragon	Flying	90	120	1890	95	145	130	120	90
410	374	Beldum	Steel	Psychic	60	30	810	40	55	80	35	60
411	375	Metang	Steel	Psychic	80	50	1130	60	75	100	55	80
412	376	Metagross	Steel	Psychic	90	70	1640	80	135	130	95	90
413	376	MetagrossMega Metagross	Steel	Psychic	110	110	1880	80	145	150	105	110
414	377	Regirock	Rock		100	50	1590	80	100	200	50	100
415	378	Regice	Ice		200	50	1490	80	50	100	100	200
416	379	Registeel	Steel		150	50	1540	80	75	150	75	150
417	380	Latias	Dragon	Psychic	130	110	1560	80	80	90	110	130
418	380	LatiasMega Latias	Dragon	Psychic	150	110	1840	80	100	120	140	150
419	381	Latios	Dragon	Psychic	110	110	1580	80	90	80	130	110
